Restaurant Name,Compound Score
Pico Taco,0.181
Zero Otto Uno Cafe,0.244
Playa Bowls,0.244
Wine Dad S,0.244
Cucina Saporito,0.244
Midtown Philly Steaks,0.244
Il Tavolo Di Palmisano,0.08
Turning Point,0.244
Johnny Pepperoni,0.202
The Brass Rail,0.244
80 River Bar Kitchen,0.157
The Ale House,0.244
7 Stars Pizzeria,0.244
Del Frisco S Grille,0.244
Grimaldi S Pizzeria,0.202
Ben Jerrys,0.244
Shoprite Of,0.244
Tony Boloney S,0.244
Apulia,0.244
La Casa,0.244
Augustino S,0.244
Eco,0.157
Amanda Bananas,0.244
Insomnia Cookies,0.244
Hidden Grounds Coffee,0.207
Pastrami House Delicatessen,0.244
H S Giovanni S Restaurant Pizzeria,0.244
Margherita S,0.244
Napoli S Pizza,0.244
One12,0.181
Chipotle Mexican Grill,0.244
Green Garden,0.122
Hoboken Burrito,0.244
Prato Bakery,0.244
Malibu Diner,0.122
Shake Shack,0.244
Fiore S House Of Quality,0.244
Vito S Deli,0.144
Mamoun S Falafel Hoboken Nj,0.076
Sirenetta Seafood Raw Bar,0.08
Rice Shop,0.08
The Madison Bar Grill,0.244
Old German Bakery,0.244
Alessio S Cafe Gelato Pizza,0.144
Curry Up Now,-0.005
Sri Thai,0.244
The Shannon,0.149
Pho Nomenon,0.244
Bwe Kafe,0.168
Flatbread Grill,0.279
Dining Room At Anthony David S,0.094
Shaka Bowl,0.244
Rosario S At Willow,0.076
Barbes,0.279
Urban Coalhouse Pizza Bar,0.181
Sorellina,0.244
Grand Vin,0.244
Bluestone Lane Hoboken Cafe,0.244
The Ainsworth,0.149
Dom S Bakery Grand,0.244
Muteki Ramen,0.08
Cafe Vista,0.168
La Bouche,0.244
The Cuban Restaurant And Bar,0.244
Robongi,-0.005
Orale Mexican Kitchen,0.244
Bangkok City Thai,0.244
Yeung Ii,0.154
Baja,0.244
Jp S Bagel Express,0.144
Qdoba Mexican Eats,0.244
Carlo S Bakery,0.244
Empyrean Indian Kitchen Bar,0.244
Rosticeria Da Gigi,-0.005
Cork City Pub,0.157
Gfg Cafe Cuisine,0.244
Kung Fu Tea,0.244
Finnegan S Pub,0.157
Hudson River Waterfront Walkway,0.149
Little Market,-0.005
Halifax,0.244
Hoboken Catering,0.244
Imposto S Pizza,0.08
Ali Baba Restaurant,0.149
Seven Valleys,0.244
Illuzion,0.244
Anthony David S,0.244
Losurdo S Italian Deli Bread Bakery,0.149
Onieal S,0.157
Gogi Grill,0.244
Wicked Wolf Tavern,0.157
Piki Poke Hawaiian Poke Bowl,0.122
No 1,0.244
Lo Fatt Chow,0.244
Black Rail Coffee,0.244
Charrito S Midtown,0.279
Benny Tudino S,0.244
Amanda S,0.094
House Of Que,0.244
Uptown Pizzeria,0.181
Iron Monkey,0.244
Arthur S,0.094
The Stewed Cow,0.094
Shokudo,0.244
Pier 13,0.149
Panera Bread,0.244
Okinawa Sushi Grill,0.154
Sweet,0.244
Greektown,0.244
Elysian Cafe,0.244
Karma Kafe,0.08
San Giuseppe,0.149
Monroe S,0.279
Satay,0.122
Touch The Heart,0.244
Trader Joe S,0.244
The Brick,0.202
South Street Fish Ramen Co,0.244
Souzafit Restaurant,0.244
Empanadas Cafe,0.244
Ayame Hibachi Sushi,0.244
Acme Markets,0.244
Zack S,0.094
Torna Pizzeria,0.181
Kolo Klub,0.244
Tosti,0.244
Court Street,0.244
Chicken Factory,0.181
Sangria,0.157
The Little Grocery,0.207
Lisa S Italian Deli Caterer,0.144
Ubu,0.181
M P Biancamano,0.181
Bareburger,0.094
Saku,0.154
Olivia S,0.244
Hudson Table,0.244
Subway,0.244
Green Pear Cafe,0.168
South Lions Dim Sum Tea,0.244
Acai Ya Later,0.122
City Bistro,0.244
Delite Liquor Store,0.244
Dunkin,0.244
Panello,0.244
Mario S,0.207
Honeygrow,0.244
Asia Sushi Chinese,0.08
Dozzino,0.202
Stingray Lounge,0.244
East La,0.244
Phoenix Bar Grill,0.181
Pizzeria,0.202
Tastee Platters,0.244
Piccolos Cheesesteaks,0.244
Blue Eyes Restaurant,0.244
8Th Street Tavern,0.122
Sushi Lounge,0.08
Moran S Pub,0.122
Cafe Michelina,0.244
Taqueria,0.244
Dino Harry S Steak House,0.244
Proven Poke Co,-0.005
Belo Bar,0.244
Jeffersons Coffee,0.168
Pilsener Haus Biergarten,0.157
Bk Lobster,0.244
Choc O Pain French Bakery And Cafe,0.244
Tenth Street Pasta Pizza,0.202
Green Rock Tap Grill,0.244
Precious Chinese Japanese Cuisine,0.154
Carpe Diem,0.157
Quality Greens Kitchen,0.244
D S Soul Full Cafe,0.149
Hoboken Waterfront,0.279
Chango Kitchen,0.149
Keming,0.244
Mr Wrap S,0.122
